Suburb,Address,Rooms,Type,Price,Postcode,Bedrooms,Bathrooms,LandSize,BuildingArea,YearBuilt,CouncilArea,Region,PropertyCount
Abbotsford,11/205 Gipps St,1,u,5214932,3067,1,1,593,50,2013,Yarra City Council,Northern Metropolitan,4019
Abbotsford,47 Studley St,2,h,9834666,3067,2,1,162,91,1900,Yarra City Council,Northern Metropolitan,4019
Abbotsford,45 Yarra St,3,h,10666859,3067,3,2,120,128,1998,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4/328 Johnston St,2,u,6017752,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,200 Nicholson St,2,h,10961288,3067,2,1,182,82,1900,Yarra City Council,Northern Metropolitan,4019
Abbotsford,82/84 Trenerry Cr,2,u,7424961,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,27 Charles St,2,h,1541587,3067,2,1,172,81,1930,Yarra City Council,Northern Metropolitan,4019
Abbotsford,22 Park St,4,h,454428,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Abbotsford,40/80 Trenerry Cr,3,h,214469,3067,3,1,482,168,1969,Yarra City Council,Northern Metropolitan,4019
Airport West,154 Halsey Rd,3,t,859708,3042,3,2,303,225,2016,Moonee Valley City Council,Western Metropolitan,3464
Airport West,50 Bedford St,3,h,5458751,3042,3,2,593,145,1965,Moonee Valley City Council,Western Metropolitan,3464
Airport West,50 Bedford St,3,h,412014,3042,3,2,593,145,1965,Moonee Valley City Council,Western Metropolitan,3464
Airport West,5 Harrington Rd,3,h,9784930,3042,3,1,580,114,1960,Moonee Valley City Council,Western Metropolitan,3464
Airport West,23 Hart St,2,h,2767264,3042,2,1,272,84,1950,Moonee Valley City Council,Western Metropolitan,3464
Airport West,1/80 Hawker St,3,t,9458149,3042,3,2,239,134,2009,Moonee Valley City Council,Western Metropolitan,3464
Airport West,1/37 Hillside Gr,3,h,8833868,3042,2,1,290,116,1980,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2/49 McIntosh St,2,u,3915814,3042,2,1,168,86,2011,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4/9 West Ct,2,t,9571316,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,1/36 York St,3,t,9710831,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,33 Bowes Av,5,h,8382431,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,89 Bowes Av,4,h,9959657,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,45 Laurence Av,4,h,6270869,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,54 Marshall Rd,3,h,7051482,3042,2,1,620,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,36 Roberts Rd,4,h,11122255,3042,3,1,597,127,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,11 Harrington Rd,6,h,5116604,3042,6,3,976,186,1980,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2/252 Parer Rd,2,t,5104296,3042,2,1,110,90,2015,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3/19 Hart St,2,u,3020578,3042,2,1,141,73,2013,Moonee Valley City Council,Western Metropolitan,3464
Airport West,81a Roberts Rd,3,h,2750010,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2/62 Clydesdale Rd,2,u,9399820,3042,2,1,120,94,2012,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3 Deidre Ct,3,h,2640703,3042,3,1,1063,133,1975,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3/24 Elstone Av,3,u,2112226,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,13 Etzel St,3,h,3799178,3042,3,1,593,105,1950,Moonee Valley City Council,Western Metropolitan,3464
Airport West,37a North St,3,t,4104403,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,1/43 Cameron St,3,u,5351049,3042,3,1,265,130,1993,Moonee Valley City Council,Western Metropolitan,3464
Airport West,1/69 Bowes Av,3,u,7948843,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2/9 El Reno Cr,3,h,1297116,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,92 McNamara Av,4,h,3729345,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,145a Victory Rd,2,u,10230300,3042,2,1,192,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,20 Creswell Av,3,h,1579311,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,241 Parer Rd,5,h,5787659,3042,3,2,596,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,71 Bowes Av,4,h,3748457,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2/40 Earl St,3,t,8565193,3042,3,2,165,133,2009,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2/112 Parer Rd,2,u,2781688,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,180 Parer Rd,3,h,9654793,3042,3,1,971,113,1960,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4/54 Hawker St,2,u,5211104,3042,2,1,164,168,2003,Moonee Valley City Council,Western Metropolitan,3464
Airport West,43 Hillside Gr,3,h,9474249,3042,3,2,657,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,174 Parer Rd,2,h,8592655,3042,2,1,612,100,1975,Moonee Valley City Council,Western Metropolitan,3464
Airport West,138 Victory Rd,3,h,650816,3042,3,2,612,174,1950,Moonee Valley City Council,Western Metropolitan,3464
Airport West,75 King St,3,h,2349755,3042,3,1,775,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,6 Kittyhawk St,4,h,10901015,3042,5,3,531,309,1980,Moonee Valley City Council,Western Metropolitan,3464
Airport West,7 McNamara Av,3,h,3839182,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,478 Fullarton Rd,3,h,2865166,3042,3,3,555,192,1980,Moonee Valley City Council,Western Metropolitan,3464
Airport West,144 Marshall Rd,3,h,10982318,3042,3,2,422,126,1995,Moonee Valley City Council,Western Metropolitan,3464
Airport West,106 Parer Rd,3,h,8897388,3042,3,1,614,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,1/41 Hillside Gr,2,t,726659,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3/7 South Rd,3,t,8136361,3042,2,2,161,101,2010,Moonee Valley City Council,Western Metropolitan,3464
Airport West,37 North St,3,t,5974734,3042,3,2,293,102,1960,Moonee Valley City Council,Western Metropolitan,3464
Airport West,10 Hilbert Rd,3,h,4985061,3042,3,1,579,113,1975,Moonee Valley City Council,Western Metropolitan,3464
Airport West,7/42 York St,3,u,2121485,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,110 Halsey Rd,3,h,5707320,3042,3,1,623,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2/13 North St,2,u,4491519,3042,2,1,141,76,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,105a Victory Rd,3,h,9579045,3042,3,2,212,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,117 Marshall Rd,3,h,6008882,3042,3,1,612,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,34 Moorna Dr,4,h,6972290,3042,4,3,532,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2/89 Marshall Rd,3,u,8870470,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,33 North St,3,h,10556521,3042,3,1,585,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4/40 McNamara Av,2,u,10072924,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,5/93 McNamara Av,2,t,2517515,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2/137 McNamara Av,3,h,1952047,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,1/46 Bowes Av,3,t,4356826,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,1/34 Elstone Av,3,u,829719,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,49 Roberts Rd,4,h,2903394,3042,4,1,509,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,85 Roberts Rd,4,h,1106777,3042,4,2,628,146,1975,Moonee Valley City Council,Western Metropolitan,3464
Airport West,22a Walters Av,3,u,10623069,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,1/145 Parer Rd,3,u,5423755,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3/35 Walters Av,3,t,4970967,3042,3,1,482,168,1969,Moonee Valley City Council,Western Metropolitan,3464
Albert Park,105 Kerferd Rd,2,h,8389258,3206,2,1,120,82,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,85 Richardson St,2,h,3867636,3206,2,1,159,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,112 Beaconsfield Pde,3,h,7222609,3206,3,2,211,198,1890,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,94 Graham St,3,h,2623436,3206,3,2,128,133,1890,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,14 Merton St,2,h,554861,3206,2,1,215,168,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,396 Montague St,2,h,2123578,3206,2,1,130,81,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,9 Boyd St,3,h,8592719,3206,2,2,336,145,1890,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,75 Graham St,2,h,7714090,3206,1,1,147,168,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,54 Brooke St,2,h,1458378,3206,2,1,167,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,104 Richardson St,4,h,7380233,3206,4,2,153,180,1880,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,81 Richardson St,3,h,893651,3206,3,1,316,125,1880,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4a Mills St,3,t,2611076,3206,3,2,718,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,1 Moubray St,3,h,3094590,3206,3,2,132,159,1996,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,114 Victoria Av,3,h,9562055,3206,3,1,482,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,29 Faussett St,2,h,7758215,3206,2,1,199,107,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3 Herbert St,3,h,4386546,3206,3,1,253,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,24 Kerferd Pl,3,h,3619301,3206,3,2,90,122,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,5 Withers St,3,h,10696876,3206,3,1,126,88,1910,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,44 Draper St,2,h,3276806,3206,2,1,240,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2 Dundas Pl,3,h,4633869,3206,3,2,177,181,1880,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,23 Finlay St,5,h,3586602,3206,5,2,237,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,31 Richardson St,3,h,2047251,3206,3,1,129,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,4a Gatehouse La,3,h,2099635,3206,3,2,593,85,2000,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,60 Brooke St,2,h,5479217,3206,2,1,288,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,140 Danks St,2,h,7935291,3206,2,1,366,117,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,70 Barrett St,3,h,10973968,3206,3,2,228,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,65 Graham St,2,h,9631850,3206,2,1,149,98,1890,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,1 Herbert Pl,2,h,8378725,3206,2,1,152,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,364 Montague St,2,h,499550,3206,2,1,141,83,1890,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,86 Mills St,3,h,6280988,3206,3,2,211,147,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,28 Dinsdale St,4,h,8798731,3206,3,1,236,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,90 Danks St,3,h,3464208,3206,3,1,300,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,129 Kerferd Rd,3,h,7214975,3206,3,1,209,168,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,97 Page St,3,h,4895151,3206,3,2,147,146,1890,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,36 Ashworth St,3,h,9477943,3206,3,1,173,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,55 Withers St,4,h,8746838,3206,4,3,327,254,1910,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,18 Herbert St,3,h,7904834,3206,3,1,169,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,10/140 Kerferd Rd,2,u,2025160,3206,2,1,593,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,9 Merton Pl,3,h,10140628,3206,3,2,122,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,55 Merton St,3,h,6952145,3206,2,1,120,123,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,16 Dinsdale St,3,h,1964085,3206,3,2,241,119,1990,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,51 Graham St,2,h,7735365,3206,2,2,225,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,143 Kerferd Rd,7,h,3633230,3206,7,7,435,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,49 Page St,3,h,2259141,3206,3,1,238,131,1890,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,13/52 Moubray St,1,u,8617941,3206,1,1,593,34,1970,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,115 Page St,4,h,9028271,3206,4,2,330,207,1910,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,32 Page St,2,h,8428508,3206,2,1,136,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,34 Richardson St,3,h,7265410,3206,3,1,202,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,2b Dundas Pl,3,h,6014565,3206,3,3,593,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,22 Greig St,3,h,4545301,3206,3,2,325,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,27 Barrett St,4,h,752995,3206,3,2,183,145,1880,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,3 Faussett St,2,u,9804390,3206,3,1,482,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,44 Greig St,2,h,8207939,3206,2,1,162,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,6 Brooke St,2,h,11089678,3206,2,1,79,68,1890,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,7 Herbert Pl,2,h,1610977,3206,2,1,99,65,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,8 Kerferd Pl,4,h,2107896,3206,4,2,230,185,1900,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,5 Reed St,3,h,4066072,3206,3,2,141,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,227a Danks St,3,h,9601724,3206,3,2,152,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,17 Reed St,3,h,5165169,3206,3,2,147,134,1890,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,74 Bridport St,3,h,9126678,3206,3,3,593,168,1969,Port Phillip City Council,Southern Metropolitan,3280
Albert Park,9 Durham St,1,h,7946397,3206,1,1,81,54,1900,Port Phillip City Council,Southern Metropolitan,3280
Alphington,30 Austin St,3,h,2118631,3078,3,2,174,122,2003,Darebin City Council,Northern Metropolitan,2211
Alphington,6 Smith St,4,h,6227252,3078,3,2,853,263,1930,Darebin City Council,Northern Metropolitan,2211
Alphington,5/6 Yarralea St,3,h,10862356,3078,3,2,208,168,2013,Darebin City Council,Northern Metropolitan,2211
Alphington,136A Fulham Rd,3,h,4024430,3078,3,2,411,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,1/9 Roemer Cr,2,u,2902096,3078,3,1,482,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,4 Tuckett St,3,h,1142754,3078,3,1,922,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,2/21 Fulham Rd,3,t,5872066,3078,3,1,482,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,44 Shiers St,4,h,7067402,3078,4,2,599,203,1925,Darebin City Council,Northern Metropolitan,2211
Alphington,83 Fulham Rd,5,h,898796,3078,5,4,809,165,1910,Darebin City Council,Northern Metropolitan,2211
Alphington,29 Alphington St,5,h,2523656,3078,5,3,743,168,1915,Darebin City Council,Northern Metropolitan,2211
Alphington,3/19 Harker St,2,u,1172773,3078,2,1,88,60,1960,Darebin City Council,Northern Metropolitan,2211
Alphington,4/2 Miller St,2,t,1063885,3078,2,2,155,140,2004,Darebin City Council,Northern Metropolitan,2211
Alphington,2/5 Yarana Rd,2,u,3565278,3078,2,1,593,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,4/5 Chandler Hwy,4,t,10571783,3078,3,1,482,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,69 Lucerne Cr,3,h,4036028,3078,3,1,482,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,815 Heidelberg Rd,3,h,5412731,3078,3,3,686,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,44 Naroon Rd,3,h,4062338,3078,3,1,592,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,11 Tower Av,4,h,4682137,3078,3,1,482,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,1/17 Rex Av,2,u,8667412,3078,3,1,482,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,3/98 Grange Rd,2,u,4586152,3078,2,1,183,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,10 Bennett St,4,h,7566571,3078,4,2,606,112,1970,Darebin City Council,Northern Metropolitan,2211
Alphington,38 Bennett St,4,h,177975,3078,4,2,575,271,2008,Darebin City Council,Northern Metropolitan,2211
Alphington,2c Hamilton St,3,h,8399348,3078,3,1,180,131,2010,Darebin City Council,Northern Metropolitan,2211
Alphington,5/5 Yarana Rd,2,u,1478653,3078,2,1,593,60,1960,Darebin City Council,Northern Metropolitan,2211
Alphington,7/7 Chandler Hwy,2,t,6276851,3078,3,1,593,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,1/14 Fulham Rd,2,u,10185016,3078,2,1,593,61,1965,Darebin City Council,Northern Metropolitan,2211
Alphington,17 Lowther St,3,h,6060702,3078,3,1,482,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,29 Naroon Rd,4,h,1838588,3078,4,2,597,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,13a Fulham Rd,3,h,1964644,3078,3,1,482,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,32/23 Coate Av,3,h,9992296,3078,3,1,482,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,22 Lowther St,3,h,4059184,3078,3,1,979,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,6/11 Broomfield Av,2,u,3348411,3078,3,1,482,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,11 Margaret Gr,4,h,7377881,3078,4,2,556,272,1930,Darebin City Council,Northern Metropolitan,2211
Alphington,21 Como St,5,h,6900441,3078,5,2,552,211,1916,Darebin City Council,Northern Metropolitan,2211
Alphington,6 Naroon Rd,3,h,10912824,3078,3,1,597,168,1969,Darebin City Council,Northern Metropolitan,2211
Alphington,42 Shiers St,4,h,3271058,3078,4,2,589,210,1920,Darebin City Council,Northern Metropolitan,2211
Altona,158 Queen St,3,h,11164617,3018,3,2,352,242,2015,Hobsons Bay City Council,Western Metropolitan,5301
Altona,59 Bracken Gr,5,h,4953693,3018,5,3,729,268,2005,Hobsons Bay City Council,Western Metropolitan,5301
Altona,1/123 Blyth St,2,t,7649508,3018,2,1,292,125,2013,Hobsons Bay City Council,Western Metropolitan,5301
Altona,4 Blyth St,3,h,5830862,3018,3,1,506,120,1930,Hobsons Bay City Council,Western Metropolitan,5301
Altona,20 Linnet St,4,h,2206233,3018,4,1,655,168,1969,Hobsons Bay City Council,Western Metropolitan,5301
