Suburb,Address,Date,Type,Bedroom2,Bathroom,Car,Price,Distance,Landsize,Lattitude,Postcode,Regionname
Ormond,1 Blackshaw St,2016-09-24,house,3.0,1.0,2.0,1668000.0,11.8,595.0,-37.9092,3204.0,Southern Metropolitan
Ascot Vale,1 Bloomfield Rd,2016-05-28,house,2.0,1.0,1.0,1305000.0,5.9,278.0,-37.7768,3032.0,Western Metropolitan
Gowanbrae,1 Bluebell Cr,2016-08-22,house,,,,600000.0,13.6,,,3043.0,Western Metropolitan
Vermont,1 Bolinda Pl,2017-12-09,house,4.0,2.0,3.0,1160000.0,17.2,654.0,-37.84351,3133.0,Eastern Metropolitan
Balwyn North,1 Bolinda Rd,2016-08-13,house,3.0,2.0,3.0,1700000.0,9.2,763.0,-37.7935,3104.0,Southern Metropolitan
Sunshine,1 Boreham St,2016-04-16,house,3.0,1.0,0.0,610000.0,12.6,705.0,-37.8005,3020.0,Western Metropolitan
Coburg North,1 Boyne St,2016-12-10,house,2.0,1.0,3.0,745000.0,9.2,526.0,-37.732,3058.0,Northern Metropolitan
Brooklyn,1 Brack Av,2017-09-23,house,3.0,2.0,3.0,901000.0,6.4,738.0,-37.8227,3012.0,Western Metropolitan
Essendon,1 Braemar St,2016-07-30,house,3.0,2.0,2.0,1505000.0,8.0,625.0,-37.7489,3040.0,Western Metropolitan
Keilor East,1 Brees Rd,2017-12-09,house,6.0,3.0,2.0,925000.0,11.7,516.0,-37.75045,3033.0,Western Metropolitan
Collingwood,1 Brewery La,2017-04-22,townhouse,,,,1075000.0,1.6,,,3066.0,Northern Metropolitan
Mitcham,1 Brian St,2018-02-17,house,3.0,1.0,1.0,985000.0,17.2,630.0,-37.82505,3132.0,Eastern Metropolitan
Heidelberg West,1 Bridgeford Ct,2017-10-21,house,2.0,1.0,,520000.0,8.8,,-37.74318,3081.0,Eastern Metropolitan
Taylors Hill,1 Brighton Pl,2018-02-10,house,4.0,2.0,2.0,735000.0,18.0,596.0,-37.70715,3037.0,Western Metropolitan
Diamond Creek,1 Brooks Cr,2017-06-24,house,,,,588000.0,21.8,,,3089.0,Northern Victoria
Seddon,1 Browning St,2017-11-18,house,,,,905000.0,5.1,,,3011.0,Western Metropolitan
Mill Park,1 Buckmaster Dr,2017-10-28,house,5.0,2.0,2.0,650000.0,17.9,,-37.66768,3082.0,Northern Metropolitan
Seddon,1 Bute St,2017-05-27,house,4.0,3.0,2.0,1315000.0,5.1,122.0,-37.80401,3011.0,Western Metropolitan
West Footscray,1 Buxton St,2016-12-03,house,3.0,1.0,1.0,1061000.0,8.2,533.0,-37.7955,3012.0,Western Metropolitan
Hughesdale,1 Calembeena Av,2016-10-15,house,,,,880000.0,13.0,,,3166.0,Southern Metropolitan
Heidelberg West,1 Calola St,2017-10-07,house,3.0,1.0,1.0,1265000.0,8.8,704.0,-37.74305,3081.0,Eastern Metropolitan
Reservoir,1 Cameron St,2017-09-03,house,3.0,2.0,3.0,861000.0,12.0,488.0,-37.72747,3073.0,Northern Metropolitan
Meadow Heights,1 Camms Wy,2018-03-17,house,3.0,1.0,1.0,520000.0,17.4,487.0,-37.6578,3048.0,Northern Metropolitan
Meadow Heights,1 Canadian Ct,2018-02-24,house,3.0,1.0,1.0,563000.0,17.4,662.0,-37.65863,3048.0,Northern Metropolitan
Dandenong,1 Caroline St,2017-07-22,house,3.0,1.0,1.0,669000.0,24.7,713.0,-37.98997,3175.0,South-Eastern Metropolitan
Epping,1 Centurion Ct,2017-07-15,house,3.0,1.0,2.0,600000.0,19.6,524.0,-37.64273,3076.0,Northern Metropolitan
Dingley Village,1 Chadree Ct,2017-06-24,house,3.0,2.0,2.0,840000.0,22.2,542.0,-37.98536,3172.0,South-Eastern Metropolitan
Prahran,1 Chatsworth Rd,2016-09-10,house,2.0,1.0,1.0,1090000.0,4.5,158.0,-37.8531,3181.0,Southern Metropolitan
Bundoora,1 Chaucer Cr,2017-08-26,house,4.0,1.0,2.0,760000.0,12.1,,-37.6965,3083.0,Northern Metropolitan
Ardeer,1 Chelsey St,2017-07-29,house,3.0,1.0,2.0,627000.0,12.8,697.0,-37.77713,3022.0,Western Metropolitan
Greenvale,1 Chester Cl,2017-06-03,house,3.0,2.0,1.0,680000.0,20.4,650.0,-37.64049,3059.0,Northern Metropolitan
Aberfeldie,1 Chisholm St,2016-09-24,unit,3.0,1.0,1.0,726000.0,9.1,229.0,-37.7606,3040.0,Western Metropolitan
Deer Park,1 Christie St,2017-09-23,house,3.0,1.0,1.0,632000.0,14.8,562.0,-37.77224,3023.0,Western Metropolitan
Kilsyth,1 Churchill Wy,2018-01-06,house,2.0,1.0,1.0,830000.0,26.0,906.0,-37.80065,3137.0,Eastern Metropolitan
Donvale,1 Clements Av,2017-07-01,house,,,,852000.0,16.1,,,3111.0,Eastern Metropolitan
Cheltenham,1 Clendon Ct,2018-01-06,house,3.0,2.0,2.0,950000.0,17.9,488.0,-37.95187,3192.0,Southern Metropolitan
Blackburn,1 Clifton St,2018-03-17,house,4.0,2.0,2.0,1500000.0,13.4,661.0,-37.82826,3130.0,Eastern Metropolitan
Murrumbeena,1 Clive St,2017-11-11,house,3.0,2.0,2.0,1450000.0,10.1,487.0,-37.888,3163.0,Southern Metropolitan
Prahran,1 Closeburn Av,2017-04-08,house,,,,2250000.0,4.5,,,3181.0,Southern Metropolitan
Reservoir,1 Coleman Cr,2016-06-27,house,,,,682400.0,11.2,,,3073.0,Northern Metropolitan
Hawthorn,1 College St,2017-03-18,house,3.0,2.0,0.0,1560000.0,4.6,198.0,-37.8169,3122.0,Southern Metropolitan
Craigieburn,1 Consort Pl,2017-08-12,house,4.0,2.0,2.0,615000.0,20.6,756.0,-37.5729,3064.0,Northern Metropolitan
Port Melbourne,1 Coogee Pl,2017-10-28,house,3.0,2.0,2.0,2200000.0,3.5,300.0,-37.83898,3207.0,Southern Metropolitan
Burwood East,1 Cooinda Ct,2017-11-25,house,,,,1160000.0,14.7,,,3151.0,Eastern Metropolitan
Bulleen,1 Coromandel Ct,2017-11-18,house,5.0,3.0,2.0,1748000.0,10.8,,-37.7735,3105.0,Eastern Metropolitan
Vermont South,1 Cottonwood Av,2018-03-17,house,3.0,2.0,2.0,1120000.0,17.2,647.0,-37.85785,3133.0,Eastern Metropolitan
Taylors Lakes,1 Cowes Pl,2017-07-15,house,4.0,3.0,2.0,853000.0,15.5,724.0,-37.70941,3038.0,Western Metropolitan
Doncaster,1 Crawford Rd,2016-08-28,house,4.0,3.0,2.0,900000.0,13.9,385.0,-37.7774,3108.0,Eastern Metropolitan
Brunswick West,1 Culloden St,2016-04-23,house,3.0,1.0,2.0,995000.0,5.9,505.0,-37.757,3055.0,Northern Metropolitan
Mitcham,1 Culwell Av,2017-08-26,house,3.0,2.0,2.0,855000.0,17.2,,-37.8229,3132.0,Eastern Metropolitan
Doncaster,1 Curnola Av,2018-03-17,house,3.0,1.0,2.0,1600000.0,12.4,728.0,-37.78118,3108.0,Eastern Metropolitan
Brighton East,1 Curzon St,2017-05-13,house,3.0,1.0,2.0,1975000.0,10.7,688.0,-37.9212,3187.0,Southern Metropolitan
Niddrie,1 Cuthbert St,2017-09-23,house,2.0,1.0,2.0,800000.0,10.4,352.0,-37.7361,3042.0,Western Metropolitan
Point Cook,1 Daisy Dr,2018-03-17,house,4.0,2.0,2.0,738000.0,14.7,540.0,-37.90482,3030.0,Western Metropolitan
Essendon,1 Daisy St,2017-04-08,house,4.0,2.0,1.0,1400000.0,8.0,267.0,-37.7558,3040.0,Western Metropolitan
Essendon,1 Daisy St,2017-06-03,house,4.0,2.0,1.0,1360000.0,7.5,267.0,-37.75472,3040.0,Western Metropolitan
South Yarra,1 Davis Av,2016-04-23,house,,,,2300000.0,3.3,,,3141.0,Southern Metropolitan
Brunswick,1 Davison St,2016-09-24,house,3.0,1.0,1.0,1000000.0,5.2,370.0,-37.7632,3056.0,Northern Metropolitan
Reservoir,1 Delaware St,2017-05-13,house,2.0,1.0,1.0,861500.0,11.2,419.0,-37.721,3073.0,Northern Metropolitan
Albion,1 Delmont St,2017-09-23,house,4.0,1.0,3.0,810000.0,10.5,,-37.78043,3020.0,Western Metropolitan
Brunswick,1 Denman St,2017-04-08,house,4.0,2.0,1.0,1500000.0,5.2,459.0,-37.7548,3056.0,Northern Metropolitan
Cheltenham,1 Dewrang St,2017-05-27,house,3.0,1.0,2.0,1010000.0,17.9,532.0,-37.95746,3192.0,Southern Metropolitan
Blackburn North,1 Diana Dr,2017-06-17,house,4.0,2.0,1.0,1280000.0,13.4,797.0,-37.80755,3130.0,Eastern Metropolitan
Sunshine West,1 Diana Dr,2017-10-28,house,3.0,2.0,2.0,770000.0,10.5,,-37.7888,3020.0,Western Metropolitan
Doncaster East,1 Dilkara Ct,2018-03-03,house,,,,1240000.0,14.3,,,3109.0,Eastern Metropolitan
Epping,1 Discovery Pl,2017-10-07,house,4.0,2.0,2.0,766000.0,19.6,523.0,-37.62245,3076.0,Northern Metropolitan
Murrumbeena,1 Donal St,2017-02-25,house,4.0,2.0,2.0,1400000.0,12.1,557.0,-37.906,3163.0,Southern Metropolitan
Bentleigh,1 Donaldson St,2017-10-14,house,3.0,1.0,2.0,1730000.0,11.4,569.0,-37.91456,3204.0,Southern Metropolitan
West Footscray,1 Dongola Rd,2017-04-22,house,3.0,1.0,2.0,935000.0,8.2,325.0,-37.7922,3012.0,Western Metropolitan
Greensborough,1 Doris St,2017-11-25,house,3.0,1.0,1.0,727000.0,16.1,298.0,-37.7076,3088.0,Northern Metropolitan
Pascoe Vale,1 Dorothy St,2017-05-27,house,3.0,2.0,1.0,802000.0,8.5,450.0,-37.71872,3044.0,Northern Metropolitan
Pascoe Vale,1 Dorset Rd,2016-04-23,house,2.0,1.0,1.0,630000.0,9.9,602.0,-37.724,3044.0,Northern Metropolitan
Glen Waverley,1 Dorset St,2017-07-08,house,3.0,2.0,1.0,1070000.0,16.7,839.0,-37.89813,3150.0,Eastern Metropolitan
Glenroy,1 Dromana St,2017-05-27,house,3.0,1.0,1.0,865000.0,11.2,746.0,-37.71051,3046.0,Northern Metropolitan
Templestowe,1 Dundee Ct,2017-09-03,house,5.0,2.0,2.0,1550000.0,15.5,,-37.76152,3106.0,Eastern Metropolitan
Mitcham,1 Dunlavin Rd,2017-09-23,house,4.0,2.0,2.0,890000.0,17.2,481.0,-37.80961,3132.0,Eastern Metropolitan
Newport,1 Durkin St,2016-04-16,house,2.0,2.0,1.0,740000.0,8.4,213.0,-37.8441,3015.0,Western Metropolitan
Ascot Vale,1 East St,2016-11-27,townhouse,3.0,2.0,2.0,1000000.0,5.9,200.0,-37.7766,3032.0,Western Metropolitan
Heidelberg West,1 Ebony Pde,2017-07-01,house,3.0,1.0,1.0,710000.0,8.8,577.0,-37.74307,3081.0,Eastern Metropolitan
Brunswick West,1 Egginton St,2017-06-24,house,4.0,2.0,2.0,1268000.0,5.2,645.0,-37.76097,3055.0,Northern Metropolitan
Werribee,1 Egret Ct,2017-10-21,house,3.0,2.0,2.0,470000.0,14.7,568.0,-37.88173,3030.0,Western Metropolitan
Watsonia,1 Elder St,2017-02-25,house,3.0,1.0,2.0,632000.0,14.9,650.0,-37.711,3087.0,Northern Metropolitan
Camberwell,1 Ellsworth Cr,2017-09-16,townhouse,3.0,2.0,2.0,1220000.0,7.7,,-37.84096,3124.0,Southern Metropolitan
Newport,1 Elphin St,2017-04-29,house,2.0,1.0,3.0,1070000.0,8.4,480.0,-37.8431,3015.0,Western Metropolitan
Dingley Village,1 Ely Ct,2017-11-11,house,4.0,2.0,2.0,890000.0,22.2,,-37.9811,3172.0,South-Eastern Metropolitan
Preston,1 Emerald St,2018-03-03,house,2.0,1.0,2.0,650000.0,8.4,200.0,-37.7443,3072.0,Northern Metropolitan
Sunshine West,1 Emslie St,2016-08-22,house,3.0,1.0,1.0,555000.0,13.5,836.0,-37.8003,3020.0,Western Metropolitan
Coburg,1 Farm Rd,2017-10-21,house,4.0,2.0,2.0,900000.0,6.7,,-37.73596,3058.0,Northern Metropolitan
Sunshine,1 Farnsworth St,2018-03-03,house,3.0,1.0,,850000.0,10.5,510.0,-37.7798,3020.0,Western Metropolitan
Mitcham,1 Fawcett St,2018-01-06,house,3.0,1.0,1.0,1020000.0,17.2,697.0,-37.80604,3132.0,Eastern Metropolitan
Keysborough,1 Fenton Ct,2017-10-07,house,3.0,2.0,2.0,775000.0,25.2,,-37.99693,3173.0,South-Eastern Metropolitan
Malvern East,1 Ferncroft Av,2018-02-24,house,3.0,2.0,2.0,2200000.0,8.4,735.0,-37.86652,3145.0,Southern Metropolitan
Albanvale,1 Fernhill Ct,2017-11-11,house,4.0,1.0,2.0,560000.0,14.0,546.0,-37.744,3021.0,Western Metropolitan
Kew,1 First Av,2016-06-04,house,,,,1380000.0,5.6,,,3101.0,Southern Metropolitan
Carlton North,1 Fletcher La,2016-12-10,house,2.0,1.0,1.0,800000.0,3.2,73.0,-37.7852,3054.0,Northern Metropolitan
Keilor Park,1 Flinders St,2017-08-26,house,3.0,1.0,2.0,821000.0,10.4,581.0,-37.72282,3042.0,Western Metropolitan
Seddon,1 Florence St,2017-10-21,house,3.0,1.0,0.0,1010000.0,5.1,436.0,-37.80868,3011.0,Western Metropolitan
Sunshine North,1 Ford Av,2016-08-28,house,,,,600000.0,13.3,,,3020.0,Western Metropolitan
Carnegie,1 Frogmore Rd,2016-05-07,house,4.0,2.0,2.0,1600000.0,11.4,751.0,-37.8945,3163.0,Southern Metropolitan
Bulleen,1 Fuller St,2016-05-28,house,4.0,2.0,2.0,1351000.0,11.8,740.0,-37.7781,3105.0,Eastern Metropolitan
Bellfield,1 Garrett Cr,2017-10-07,house,3.0,2.0,2.0,795000.0,8.8,368.0,-37.75259,3081.0,Eastern Metropolitan
Preston,1 George St,2016-10-08,house,3.0,1.0,2.0,735000.0,8.8,369.0,-37.7359,3072.0,Northern Metropolitan
Maidstone,1 Gilda St,2017-05-27,house,3.0,1.0,2.0,793000.0,6.4,417.0,-37.78867,3012.0,Western Metropolitan
Keilor East,1 Giuliano Ct,2017-03-04,house,3.0,2.0,2.0,700000.0,12.8,288.0,-37.7514,3033.0,Western Metropolitan
Bentleigh East,1 Gladesville Dr,2017-07-01,house,5.0,2.0,2.0,1220000.0,13.8,611.0,-37.93228,3165.0,Southern Metropolitan
Clayton,1 Glenbrook Av,2017-11-25,house,,,,1445000.0,16.7,,,3168.0,South-Eastern Metropolitan
Rowville,1 Glenn Ct,2017-09-16,house,4.0,2.0,2.0,955000.0,23.5,,-37.93328,3178.0,South-Eastern Metropolitan
Bundoora,1 Gloria Ct,2017-10-28,house,3.0,1.0,2.0,765000.0,12.1,,-37.69829,3083.0,Northern Metropolitan
Heidelberg West,1 Goodenough Ct,2017-03-04,house,3.0,2.0,0.0,830000.0,9.4,643.0,-37.737,3081.0,Eastern Metropolitan
Gowanbrae,1 Gowanbrae Dr,2016-09-03,house,3.0,2.0,2.0,631000.0,13.6,608.0,-37.709,3043.0,Western Metropolitan
Doncaster,1 Graeme Cl,2016-12-10,house,4.0,3.0,2.0,2000000.0,13.9,507.0,-37.7738,3108.0,Eastern Metropolitan
Clayton South,1 Granville Gr,2018-02-24,house,3.0,1.0,1.0,1100000.0,17.5,726.0,-37.93117,3169.0,South-Eastern Metropolitan
Glenroy,1 Granville St,2017-09-09,house,3.0,1.0,1.0,932000.0,11.2,639.0,-37.70234,3046.0,Northern Metropolitan
Wheelers Hill,1 Greenbriar Av,2017-12-09,house,4.0,2.0,2.0,1370000.0,16.7,813.0,-37.89969,3150.0,South-Eastern Metropolitan
Mill Park,1 Greenway Dr,2018-02-24,house,5.0,3.0,2.0,815000.0,17.9,600.0,-37.6638,3082.0,Northern Metropolitan
Parkdale,1 Greenways Ct,2017-10-28,house,4.0,3.0,1.0,1270000.0,21.5,585.0,-37.99008,3195.0,South-Eastern Metropolitan
Huntingdale,1 Greville St,2017-10-07,house,3.0,1.0,2.0,1100000.0,12.3,,-37.90564,3166.0,Southern Metropolitan
Richmond,1 Griffiths St,2016-08-22,house,2.0,2.0,1.0,1105000.0,2.6,55.0,-37.8159,3121.0,Northern Metropolitan
Reservoir,1 Grimwade St,2016-09-03,house,,,,738000.0,11.2,,,3073.0,Northern Metropolitan
Toorak,1 Grosvenor Ct,2016-09-10,unit,3.0,1.0,0.0,1635000.0,4.6,1099.0,-37.8438,3142.0,Southern Metropolitan
Balwyn,1 Grosvenor Pde,2017-09-16,house,,,,1520000.0,7.9,,-37.80772,3103.0,Southern Metropolitan
Hampton,1 Grout St,2017-06-24,house,3.0,1.0,2.0,1325000.0,13.8,400.0,-37.93434,3188.0,Southern Metropolitan
Greenvale,1 Haddington Cr,2017-11-18,house,5.0,2.0,2.0,1020000.0,20.4,981.0,-37.6529,3059.0,Northern Metropolitan
Brighton,1 Hanby St,2016-06-18,house,,,,2100000.0,11.2,,-37.9251,3186.0,Southern Metropolitan
Brunswick,1 Hanover St,2018-02-24,house,3.0,1.0,0.0,1035500.0,5.2,375.0,-37.76276,3056.0,Northern Metropolitan
Bentleigh,1 Harding St,2018-02-24,house,4.0,2.0,2.0,1390000.0,11.4,833.0,-37.92868,3204.0,Southern Metropolitan
Keilor East,1 Harley Ct,2016-10-15,house,3.0,1.0,2.0,740000.0,12.8,684.0,-37.7426,3033.0,Western Metropolitan
Reservoir,1 Harmer St,2016-07-26,house,4.0,2.0,3.0,885000.0,11.2,936.0,-37.7021,3073.0,Northern Metropolitan
Craigieburn,1 Harper Cl,2018-02-17,house,3.0,2.0,2.0,495000.0,20.6,740.0,-37.60671,3064.0,Northern Metropolitan
St Albans,1 Harris St,2017-06-17,house,3.0,1.0,2.0,630000.0,14.0,524.0,-37.75098,3021.0,Western Metropolitan
Ivanhoe East,1 Hartlands Rd,2017-08-26,house,3.0,2.0,2.0,1630000.0,7.8,,-37.77347,3079.0,Eastern Metropolitan
Pascoe Vale,1 Hazel Gr,2017-07-01,house,3.0,1.0,2.0,1663000.0,8.5,956.0,-37.73103,3044.0,Northern Metropolitan
Ringwood North,1 Heape Wy,2017-09-23,house,5.0,3.0,2.0,1100000.0,19.9,649.0,-37.78958,3134.0,Eastern Metropolitan
Bentleigh East,1 Heather St,2017-05-20,house,2.0,1.0,2.0,1962000.0,13.9,848.0,-37.9199,3165.0,Southern Metropolitan
Hampton East,1 Henrietta St,2018-03-17,townhouse,4.0,3.0,2.0,1180000.0,13.8,674.0,-37.93825,3188.0,Southern Metropolitan
Epping,1 Henry Ct,2018-02-17,house,3.0,1.0,1.0,616000.0,19.6,570.0,-37.65149,3076.0,Northern Metropolitan
Glen Waverley,1 Herald Ct,2018-02-24,house,4.0,2.0,2.0,1250000.0,16.7,646.0,-37.87327,3150.0,Eastern Metropolitan
Mill Park,1 Higgs Av,2017-10-28,house,3.0,1.0,,705000.0,17.9,634.0,-37.67464,3082.0,Northern Metropolitan
Braybrook,1 Hinkler St,2017-04-08,house,3.0,1.0,2.0,925000.0,10.8,597.0,-37.7888,3019.0,Western Metropolitan
Richmond,1 Hodgson Tce,2016-11-27,house,3.0,2.0,1.0,1495000.0,2.6,159.0,-37.8195,3121.0,Northern Metropolitan
Dingley Village,1 Holmwood Brk,2017-11-25,house,,,,706000.0,22.2,,,3172.0,South-Eastern Metropolitan
Ardeer,1 Holt St,2017-10-07,house,5.0,2.0,2.0,940000.0,12.8,,-37.77733,3022.0,Western Metropolitan
Warrandyte,1 Homewood Ri,2017-11-18,house,,,,2200000.0,21.1,,,3113.0,Eastern Metropolitan
Macleod,1 Hooper St,2017-10-28,house,,,,810000.0,12.7,,,3085.0,Northern Metropolitan
Black Rock,1 Hornby St,2017-09-09,house,4.0,2.0,2.0,1720000.0,17.3,659.0,-37.97951,3193.0,Southern Metropolitan
Keilor Downs,1 Hotchkiss Wy,2017-06-24,house,,,,715000.0,15.5,,,3038.0,Western Metropolitan
Lalor,1 Howell St,2017-06-24,house,3.0,1.0,1.0,560000.0,16.3,364.0,-37.67122,3075.0,Northern Metropolitan
Sunshine West,1 Howitt Cr,2016-09-10,house,,,,470000.0,13.5,,,3020.0,Western Metropolitan
Fawkner,1 Hudson St,2017-11-25,house,3.0,1.0,2.0,600000.0,13.1,589.0,-37.7017,3060.0,Northern Metropolitan
Thornbury,1 Ibis Pl,2018-03-17,townhouse,3.0,2.0,2.0,735000.0,7.0,131.0,-37.76107,3071.0,Northern Metropolitan
Rowville,1 Ideal Ct,2018-03-03,house,5.0,2.0,3.0,933000.0,23.5,665.0,-37.93416,3178.0,South-Eastern Metropolitan
Fawkner,1 Imaroo St,2016-10-15,house,4.0,2.0,1.0,570500.0,12.4,430.0,-37.7185,3060.0,Northern Metropolitan
Cheltenham,1 Irene Ct,2017-10-28,house,4.0,2.0,2.0,1130000.0,17.9,483.0,-37.96504,3192.0,Southern Metropolitan
Hampton,1 Ivison Wy,2017-02-25,house,,,,910000.0,13.7,,,3188.0,Southern Metropolitan
Oak Park,1 Jacaranda St,2016-09-17,house,3.0,2.0,2.0,770000.0,11.5,382.0,-37.7152,3046.0,Northern Metropolitan
South Morang,1 Jackson St,2017-10-07,house,3.0,1.0,1.0,594000.0,20.5,,-37.65437,3752.0,Northern Metropolitan
Fawkner,1 James St,2016-11-19,house,3.0,1.0,1.0,650000.0,12.4,725.0,-37.7115,3060.0,Northern Metropolitan
Boronia,1 Jarrah Ct,2017-10-07,house,3.0,2.0,2.0,720500.0,25.0,509.0,-37.84739,3155.0,Eastern Metropolitan
Bentleigh East,1 Jassa St,2016-11-19,house,3.0,1.0,2.0,1352000.0,13.9,686.0,-37.9113,3165.0,Southern Metropolitan
Maribyrnong,1 Jetty La,2017-11-18,house,4.0,2.0,2.0,1156000.0,4.3,,-37.786,3032.0,Western Metropolitan
Sunshine West,1 Joan St,2016-09-17,house,3.0,1.0,2.0,575000.0,13.5,686.0,-37.7901,3020.0,Western Metropolitan
Clifton Hill,1 John St,2016-05-22,house,2.0,1.0,1.0,730000.0,3.4,103.0,-37.7898,3068.0,Northern Metropolitan
Brunswick West,1 Jordan St,2016-09-24,house,2.0,1.0,2.0,1315000.0,5.9,554.0,-37.7715,3055.0,Northern Metropolitan
Burwood,1 Judith St,2017-11-18,house,3.0,1.0,2.0,1200000.0,10.4,654.0,-37.8511,3125.0,Southern Metropolitan
Parkdale,1 Keith St,2017-10-28,house,3.0,1.0,2.0,1400000.0,21.5,588.0,-37.99201,3195.0,South-Eastern Metropolitan
Lalor,1 Kent Rd,2017-05-27,house,3.0,2.0,2.0,600000.0,16.3,534.0,-37.67323,3075.0,Northern Metropolitan
Dandenong,1 Keppel Ct,2017-12-09,house,3.0,2.0,2.0,650000.0,24.7,,-37.98568,3175.0,South-Eastern Metropolitan
